X,Y,id,z
720165.27214818,9445251.20858284,1,-0.36
720160.312244963,9445251.1759519,2,-0.68
720160.304087227,9445241.13377943,4,-0.62
720165.280305916,9445241.1500949,5,-0.49
720162.612726389,9445240.8849685,18,-0.51
720162.857458456,9445241.74153073,19,-0.74
720160.573292501,9445242.08415562,20,-0.59
720160.736447212,9445242.87545597,21,-0.91
720162.547464505,9445243.2262386,33,-0.02
720164.562425187,9445242.32072996,17,-0.60
720165.949240231,9445243.52807482,14,-0.54
720166.658963224,9445243.48728614,13,-0.40
720166.952641704,9445241.33364395,15,-0.51
720158.313599752,9445243.78912236,22,-0.49
720159.219108399,9445244.77620836,23,-0.71
720163.249029763,9445245.46145814,7,-0.70
720161.046441163,9445246.0488151,34,0.21
720164.130065203,9445247.53352297,31,-0.32
720165.12530894,9445246.00802643,6,-0.20
720165.206886296,9445244.5804227,32,-0.10
720166.406073422,9445245.49408909,12,-0.34
720167.25447792,9445246.72590715,10,-0.30
720166.552912662,9445246.83195772,11,-0.48
720165.745296842,9445242.21467939,16,-0.85
720159.349632168,9445246.07736718,25,-0.91
720158.333994091,9445246.22828528,24,-0.61
720158.717407662,9445247.88022674,26,-0.64
720160.858813245,9445247.57023278,27,-0.72
720163.42034221,9445247.91285768,30,-0.30
720165.202807428,9445248.64705387,9,-0.55
720165.655561751,9445249.04678291,8,-0.39
720163.685468615,9445249.49953724,29,-0.49
720162.682067142,9445250.41728249,28,-0.58
720165.263990445,9445242.65927598,PA,-0.72
720165.263990444,9445239.64499269,PC,-0.44
720163.775203706,9445239.62867722,PD,-0.48
720163.771124838,9445241.1500949,PE,-0.42
720163.771124838,9445242.65519711,PF,-0.57
720160.296760203,9445246.152835,3,-0.31
720246.501612107,9445251.77677472,6,2.72
720251.436755854,9445251.70531994,5,2.75
720256.464790824,9445251.72794729,4,2.79
720261.399934574,9445251.70889268,3,2.78
720266.239805279,9445251.63267424,2,2.99
720271.47029547,9445251.78511111,1,3.10
720254.840385399,9445259.85950171,10,2.59
720248.866765454,9445260.26441215,11,2.50
720261.033133349,9445259.86426536,9,2.77
720265.825367532,9445259.79281058,8,3.03
720271.660841561,9445259.8499744,7,3.33
720263.886561058,9445262.83202072,12,2.87
720271.827569391,9445269.8202986,16,3.24
720264.839291512,9445269.9203353,13,2.81
720264.901218992,9445279.40476697,14,2.71
720258.899017133,9445278.89029252,29,2.33
720252.915869883,9445278.92840174,28,2.39
720246.913668024,9445278.87123791,27,2.16
720246.894613415,9445284.9306036,21,2.04
720252.877760665,9445284.91154899,20,2.21
720258.899017133,9445284.9306036,19,2.26
720264.93932821,9445284.96871281,18,2.48
720270.884366241,9445284.98776742,17,2.92
720270.893893546,9445291.0280785,26,2.79
720264.901218991,9445291.0280785,25,2.34
720258.899017132,9445290.98996928,24,2.15
720252.915869883,9445290.98996928,23,2.08
720246.951777242,9445290.98996928,22,2.05
720271.751350953,9445279.82396835,15,3.02
720160.588841283,9445266.71407565,1020/3,-0.75
720159.984730853,9445285.18341316,1020/4,-1.06
720156.544187487,9445284.98061257,1020/7,-1.34
720158.576233111,9445295.92331103,1020/5,-1.39
720159.832021505,9445308.41659217,1020/6,-1.83
720261.46701,9445265.83870,1030/3,
720261.42740,9445255.74638,1030/4,
720261.4001,9445245.6619,1030/5,
720267.3922,9445245.7138,1030/6,
720267.4022,9445255.7799,1030/7,
720267.4513,9445265.8448,1030/8,
720271.4327,9445265.8716,1030/9,
