"Site","Activity","Square","depth","soil_volume_cm3","soil_dens_g.cm3","soil_g","charcoal_wood_g","charcoal_endo_g","ceramics_g","slag_g","lithics_g","NA.","NA..1","ceramics","slag","stone","botanics","charcoal","bone","burnt.clay","soil.sample","coin","X.modern..materials","stone.numbers","stones.weight","comments"
"MUK 2018/1030/10",5,"1a",20,112500,1.3,146250,"0","0",62.3,0,515.8,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,"1",NA,"515.8",NA
"MUK 2018/1030/10",6,"1b",20,112500,1.3,146250,"0","0",55.6,0,579.1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,"1",NA,"579.1",NA
"MUK 2018/1030/10",7,"1c",20,112500,1.3,146250,"0","0",16.6,0,1104,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,"1",NA,"1104",NA
"MUK 2018/1030/10",8,"1d",20,112500,1.3,146250,"NA","NA",60.2,0,591,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,"1",NA,"591","ab hier sortieren"
"MUK 2018/1030/10",9,"2a",20,112500,1.3,146250,"NA","NA",23.5,0,430,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,"1",NA,"430",NA
"MUK 2018/1030/10",10,"2b",20,112500,1.3,146250,"NA","NA",30.4,0,1120,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,"1",NA,"1120",NA
"MUK 2018/1030/10",11,"2c",20,112500,1.3,146250,"NA","NA",10.8,0,192,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,"1",NA,"192",NA
"MUK 2018/1030/10",12,"2d",20,112500,1.3,146250,"NA","NA",23.2,0,360,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,"1",NA,"360",NA
"MUK 2018/1030/10",13,"3a",20,112500,1.3,146250,"NA","NA",9.2,0,387,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,"1",NA,"387",NA
"MUK 2018/1030/10",14,"3b",20,112500,1.3,146250,"NA","NA",117.5,0,490,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,"1",NA,"490","Perle, grüner Stein"
