"Cluster","Pit_collection","Couche","Fragment","Depth.cm","Type_Nr"
"MUK","MUK-T10-S1d",300,1,"280-300","48"
"MUK","MUK-T10-S1d",300,2,"280-300","48"
"MUK","MUK-T10-S1d",300,3,"280-300","49"
"MUK","MUK-T10-S1d",300,4,"280-300","48"
"MUK","MUK-T10-S1d",300,5,"280-300","49"
"MUK","MUK-T10-S1d",300,6,"280-300","48"
"MUK","MUK-T10-S1d",300,7,"280-300","48"
"MUK","MUK-T10-S1d",300,8,"280-300","47"
"MUK","MUK-T10-S1d",300,9,"280-300","49"
"MUK","MUK-T10-S1d",300,10,"280-300","48"
"MUK","MUK-T10-S1d",300,11,"280-300","48"
"MUK","MUK-T10-S1d",300,12,"280-300","48"
"MUK","MUK-T10-S1d",300,13,"280-300","49"
"MUK","MUK-T10-S1d",300,14,"280-300","48"
"MUK","MUK-T10-S1d",300,15,"280-300","49"
"MUK","MUK-T10-S1d",300,16,"280-300","48"
"MUK","MUK-T10-S1d",300,17,"280-300","48"
"MUK","MUK-T10-S1d",300,18,"280-300","49"
"MUK","MUK-T10-S1c",300,1,"280-300","48"
"MUK","MUK-T10-S1c",300,2,"280-300","49"
"MUK","MUK-T10-S1c",300,3,"280-300","48"
"MUK","MUK-T10-S1b",300,1,"280-300","48"
"MUK","MUK-T10-S1b",300,2,"280-300","47"
"MUK","MUK-T10-S1b",300,3,"280-300","48"
"MUK","MUK-T10-S1b",300,4,"280-300","48"
"MUK","MUK-T10-S1b",300,5,"280-300","49"
"MUK","MUK-T10-S1b",300,6,"280-300","48"
"MUK","MUK-T10-S1a",300,1,"280-300","49"
"MUK","MUK-T10-S1a",360,1,"340-360","endocarp"
"MUK","MUK-T10-S1a",360,2,"340-360","50"
"MUK","MUK-T10-S1a",360,3,"340-360","52"
"MUK","MUK-T10-S1a",360,4,"340-360","52"
"MUK","MUK-T10-S1a",360,5,"340-360","13"
"MUK","MUK-T10-S1a",360,6,"340-360","endocarp"
"MUK","MUK-T10-S1a",360,7,"340-360","51"
"MUK","MUK-T10-S1a",360,8,"340-360","48"
"MUK","MUK-T10-S1a",360,9,"340-360","51"
"MUK","MUK-T10-S1a",360,10,"340-360","endocarp"
"MUK","MUK-T10-S1b",360,1,"340-360","50"
"MUK","MUK-T10-S1b",360,2,"340-360","endocarp"
"MUK","MUK-T10-S1b",360,3,"340-360","50"
"MUK","MUK-T10-S1b",360,4,"340-360","endocarp"
"MUK","MUK-T10-S1b",360,5,"340-360","endocarp"
"MUK","MUK-T10-S1b",360,6,"340-360","50"
"MUK","MUK-T10-S1b",360,7,"340-360","50"
"MUK","MUK-T10-S1b",360,8,"340-360","endocarp"
"MUK","MUK-T10-S1b",360,9,"340-360","53"
"MUK","MUK-T10-S1b",360,10,"340-360","50"
"MUK","MUK-T10-S1b",360,11,"340-360","50"
"MUK","MUK-T10-S1b",360,12,"340-360","50"
"MUK","MUK-T10-S1b",360,13,"340-360","50"
"MUK","MUK-T10-S1b",360,14,"340-360","endocarp"
"MUK","MUK-T10-S1b",360,15,"340-360","50"
"MUK","MUK-T10-S1d",175,1,"175-180","36"
"MUK","MUK-T10-S1d",175,2,"175-180","36"
"MUK","MUK-T10-S1d",175,3,"175-180","36"
"MUK","MUK-T10-S1d",175,4,"175-180","36"
"MUK","MUK-T10-S1d",175,5,"175-180","36"
"MUK","MUK-T10-S1d",175,6,"175-180","36"
"MUK","MUK-T10-S1d",175,7,"175-180","36"
"MUK","MUK-T10-S1d",175,8,"175-180","36"
"MUK","MUK-T10-S1d",175,9,"175-180","36"
"MUK","MUK-T10-S1d",175,10,"175-180","36"
"MUK","MUK-T10-S1d",175,11,"175-180","36"
"MUK","MUK-T10-S1d",175,12,"175-180","36"
"MUK","MUK-T10-S1d",175,13,"175-180","36"
"MUK","MUK-T10-S1d",175,14,"175-180","36"
"MUK","MUK-T10-S1d",175,15,"175-180","36"
"MUK","MUK-T10-S1d",175,16,"175-180","36"
"MUK","MUK-T10-S1d",175,17,"175-180","36"
"MUK","MUK-T10-S1d",175,18,"175-180","36"
"MUK","MUK-T10-S1d",175,19,"175-180","36"
"MUK","MUK-T10-S1d",175,20,"175-180","36"
"MUK","MUK-T10-S1a",180,1,"160-180","37"
"MUK","MUK-T10-S1a",180,2,"160-180","35"
"MUK","MUK-T10-S1a",180,3,"160-180","37"
"MUK","MUK-T10-S1a",180,4,"160-180","34"
"MUK","MUK-T10-S1a",180,5,"160-180","37"
"MUK","MUK-T10-S1a",180,6,"160-180","37"
"MUK","MUK-T10-S1a",180,7,"160-180","indet"
"MUK","MUK-T10-S1a",180,8,"160-180","35"
"MUK","MUK-T10-S1a",180,9,"160-180","37"
"MUK","MUK-T10-S1a",180,10,"160-180","35"
"MUK","MUK-T10-S1a",180,11,"160-180","endocarp"
"MUK","MUK-T10-S1a",180,12,"160-180","endocarp"
"MUK","MUK-T10-S1b",180,1,"160-180","38"
"MUK","MUK-T10-S1b",180,2,"160-180","38"
"MUK","MUK-T10-S1b",180,3,"160-180","38"
"MUK","MUK-T10-S1b",180,4,"160-180","endocarp"
"MUK","MUK-T10-S1c",180,1,"160-180","34"
"MUK","MUK-T10-S1c",180,2,"160-180","39"
"MUK","MUK-T10-S1c",180,3,"160-180","34"
"MUK","MUK-T10-S1c",180,4,"160-180","39"
"MUK","MUK-T10-S1c",180,5,"160-180","34"
"MUK","MUK-T10-S1c",180,6,"160-180","34"
"MUK","MUK-T10-S1c",180,7,"160-180","35"
"MUK","MUK-T10-S1c",180,8,"160-180","34"
"MUK","MUK-T10-S1c",180,9,"160-180","34"
"MUK","MUK-T10-S1d",180,1,"160-180","36"
"MUK","MUK-T10-S1d",180,2,"160-180","36"
"MUK","MUK-T10-S1d",180,3,"160-180","endocarp"
"MUK","MUK-T10-S1d",180,4,"160-180","36"
"MUK","MUK-T10-S1d",180,5,"160-180","36"
"MUK","MUK-T10-S1d",180,6,"160-180","36"
"MUK","MUK-T10-S1d",180,7,"160-180","36"
"MUK","MUK-T10-S1d",180,8,"160-180","36"
"MUK","MUK-T10-S1d",180,9,"160-180","33"
"MUK","MUK-T10-S1d",180,10,"160-180","36"
"MUK","MUK-T10-S1d",180,11,"160-180","36"
"MUK","MUK-T10-S1d",180,12,"160-180","36"
"MUK","MUK-T10-S1b",120,1,"100-120","29"
"MUK","MUK-T10-S1b",120,2,"100-120","29"
"MUK","MUK-T10-S1b",120,3,"100-120","30"
"MUK","MUK-T10-S1b",120,4,"100-120","29"
"MUK","MUK-T10-S1b",120,5,"100-120","29"
"MUK","MUK-T10-S1b",120,6,"100-120","29"
"MUK","MUK-T10-S1b",120,7,"100-120","29"
"MUK","MUK-T10-S1b",120,8,"100-120","29"
"MUK","MUK-T10-S1b",120,9,"100-120","31"
"MUK","MUK-T10-S1b",120,10,"100-120","29"
"MUK","MUK-T10-S1b",120,11,"100-120","29"
"MUK","MUK-T10-S1b",120,12,"100-120","26"
"MUK","MUK-T10-S1b",120,13,"100-120","29"
"MUK","MUK-T10-S1b",120,14,"100-120","29"
"MUK","MUK-T10-S1b",120,15,"100-120","29"
"MUK","MUK-T10-S1c",120,1,"100-120","29"
"MUK","MUK-T10-S1c",120,2,"100-120","29"
"MUK","MUK-T10-S1c",120,3,"100-120","29"
"MUK","MUK-T10-S1c",120,4,"100-120","29"
"MUK","MUK-T10-S1c",120,5,"100-120","29"
"MUK","MUK-T10-S1c",120,6,"100-120","29"
"MUK","MUK-T10-S1c",120,7,"100-120","29"
"MUK","MUK-T10-S1c",120,8,"100-120","29"
"MUK","MUK-T10-S1c",120,9,"100-120","29"
"MUK","MUK-T10-S1c",120,10,"100-120","29"
"MUK","MUK-T10-S1d",120,1,"100-120","29"
"MUK","MUK-T10-S1d",120,2,"100-120","29"
"MUK","MUK-T10-S1d",120,3,"100-120","29"
"MUK","MUK-T10-S1d",120,4,"100-120","29"
"MUK","MUK-T10-S1d",120,5,"100-120","29"
"MUK","MUK-T10-S1d",120,6,"100-120","29"
"MUK","MUK-T10-S1d",120,7,"100-120","29"
"MUK","MUK-T10-S1d",120,8,"100-120","29"
"MUK","MUK-T10-S1d",120,9,"100-120","29"
"MUK","MUK-T10-S1d",120,10,"100-120","29"
"MUK","MUK-T10-S1a",120,1,"100-120","29"
"MUK","MUK-T10-S1c",80,1,"60-80","15"
"MUK","MUK-T10-S1c",80,2,"60-80","indet"
"MUK","MUK-T10-S1c",80,3,"60-80","19"
"MUK","MUK-T10-S1c",80,4,"60-80","14"
"MUK","MUK-T10-S1c",80,5,"60-80","41"
"MUK","MUK-T10-S1c",80,6,"60-80","17"
"MUK","MUK-T10-S1c",80,7,"60-80","endocarp"
"MUK","MUK-T10-S1c",80,8,"60-80","22"
"MUK","MUK-T10-S1c",80,9,"60-80","12"
"MUK","MUK-T10-S1c",80,10,"60-80","17"
"MUK","MUK-T10-S1c",80,11,"60-80","24"
"MUK","MUK-T10-S1c",80,12,"60-80","18"
"MUK","MUK-T10-S1c",80,13,"60-80","endocarp"
"MUK","MUK-T10-S1c",80,14,"60-80","24"
"MUK","MUK-T10-S1c",80,15,"60-80","14"
"MUK","MUK-T10-S1d",80,1,"60-80","12"
"MUK","MUK-T10-S1d",80,2,"60-80","14"
"MUK","MUK-T10-S1d",80,3,"60-80","25"
"MUK","MUK-T10-S1d",80,4,"60-80","12"
"MUK","MUK-T10-S1d",80,5,"60-80","25"
"MUK","MUK-T10-S1d",80,6,"60-80","14"
"MUK","MUK-T10-S1d",80,7,"60-80","14"
"MUK","MUK-T10-S1d",80,8,"60-80","15"
"MUK","MUK-T10-S1d",80,9,"60-80","10"
"MUK","MUK-T10-S1d",80,10,"60-80","14"
"MUK","MUK-T10-S1d",80,11,"60-80","15"
"MUK","MUK-T10-S1d",80,12,"60-80","15"
"MUK","MUK-T10-S1d",80,13,"60-80","12"
"MUK","MUK-T10-S1d",80,14,"60-80","13"
"MUK","MUK-T10-S1d",80,15,"60-80","23"
"MUK","MUK-T10-S1d",60,1,"40-60","11"
"MUK","MUK-T10-S1d",60,2,"40-60","11"
"MUK","MUK-T10-S1d",60,3,"40-60","11"
"MUK","MUK-T10-S1d",60,4,"40-60","11"
"MUK","MUK-T10-S1d",60,5,"40-60","11"
"MUK","MUK-T10-S1d",60,6,"40-60","11"
"MUK","MUK-T10-S1d",60,7,"40-60","51"
"MUK","MUK-T10-S1d",60,8,"40-60","51"
"MUK","MUK-T10-S1d",60,9,"40-60","11"
"MUK","MUK-T10-S1d",60,10,"40-60","11"
"MUK","MUK-T10-S1d",60,11,"40-60","4"
"MUK","MUK-T10-S1d",60,12,"40-60","11"
"MUK","MUK-T10-S1d",60,13,"40-60","12"
"MUK","MUK-T10-S1d",60,14,"40-60","2"
"MUK","MUK-T10-S1d",60,15,"40-60","2"
"MUK","MUK-T10-S1c",60,1,"40-60","11"
"MUK","MUK-T10-S1c",60,2,"40-60","2"
"MUK","MUK-T10-S1c",60,3,"40-60","32"
"MUK","MUK-T10-S1c",60,4,"40-60","11"
"MUK","MUK-T10-S1c",60,5,"40-60","2"
"MUK","MUK-T10-S1c",60,6,"40-60","11"
"MUK","MUK-T10-S1c",60,7,"40-60","3"
"MUK","MUK-T10-S1c",60,8,"40-60","2"
"MUK","MUK-T10-S1c",60,9,"40-60","11"
"MUK","MUK-T10-S1c",60,10,"40-60","11"
"MUK","MUK-T10-S1c",60,11,"40-60","13"
"MUK","MUK-T10-S1c",60,12,"40-60","30"
"MUK","MUK-T10-S1c",60,13,"40-60","11"
"MUK","MUK-T10-S1c",60,14,"40-60","32"
"MUK","MUK-T10-S1c",60,15,"40-60","3"
"MUK","MUK-T10-S2b",60,1,"40-60","11"
"MUK","MUK-T10-S2b",60,2,"40-60","11"
"MUK","MUK-T10-S2b",60,3,"40-60","11"
"MUK","MUK-T10-S2b",60,4,"40-60","2"
"MUK","MUK-T10-S2b",60,5,"40-60","5"
"MUK","MUK-T10-S2b",60,6,"40-60","6"
"MUK","MUK-T10-S2b",60,7,"40-60","4"
"MUK","MUK-T10-S2b",60,8,"40-60","7"
"MUK","MUK-T10-S2b",60,9,"40-60","32"
"MUK","MUK-T10-S2b",60,10,"40-60","3"
"MUK","MUK-T10-S2b",60,11,"40-60","11"
"MUK","MUK-T10-S2b",60,12,"40-60","11"
"MUK","MUK-T10-S2b",60,13,"40-60","12"
"MUK","MUK-T10-S2b",60,14,"40-60","11"
"MUK","MUK-T10-S2b",60,15,"40-60","12"
"MUK","MUK-T10-S2a",60,1,"40-60","1"
"MUK","MUK-T10-S2a",60,2,"40-60","1"
"MUK","MUK-T10-S2a",60,3,"40-60","12"
"MUK","MUK-T10-S2a",60,4,"40-60","4"
"MUK","MUK-T10-S2a",60,5,"40-60","11"
"MUK","MUK-T10-S2a",60,6,"40-60","12"
"MUK","MUK-T10-S2a",60,7,"40-60","1"
"MUK","MUK-T10-S2a",60,8,"40-60","1"
"MUK","MUK-T10-S2a",60,9,"40-60","3"
"MUK","MUK-T10-S2a",60,10,"40-60","12"
"MUK","MUK-T10-S2a",60,11,"40-60","8"
"MUK","MUK-T10-S2a",60,12,"40-60","1"
"MUK","MUK-T10-S2a",60,13,"40-60","10"
"MUK","MUK-T10-S2a",60,14,"40-60","1"
"MUK","MUK-T10-S2a",60,15,"40-60","9"
"MUK","MUK-T10-S2b",80,1,"60-80","24"
"MUK","MUK-T10-S2b",80,2,"60-80","24"
"MUK","MUK-T10-S2b",80,3,"60-80","24"
"MUK","MUK-T10-S2b",80,4,"60-80","24"
"MUK","MUK-T10-S2b",80,5,"60-80","24"
"MUK","MUK-T10-S2b",80,6,"60-80","24"
"MUK","MUK-T10-S2b",80,7,"60-80","13"
"MUK","MUK-T10-S2b",80,8,"60-80","indet"
"MUK","MUK-T10-S2b",80,9,"60-80","50"
"MUK","MUK-T10-S2b",80,10,"60-80","13"
"MUK","MUK-T10-S2b",80,11,"60-80","24"
"MUK","MUK-T10-S2b",80,12,"60-80","13"
"MUK","MUK-T10-S2b",80,13,"60-80","24"
"MUK","MUK-T10-S2b",80,14,"60-80","24"
"MUK","MUK-T10-S2b",80,15,"60-80","24"
"MUK","MUK-T10-S2a",80,1,"60-80","24"
"MUK","MUK-T10-S2a",80,2,"60-80","24"
"MUK","MUK-T10-S2a",80,3,"60-80","24"
"MUK","MUK-T10-S2a",80,4,"60-80","24"
"MUK","MUK-T10-S2a",80,5,"60-80","24"
"MUK","MUK-T10-S2a",80,6,"60-80","24"
"MUK","MUK-T10-S2a",80,7,"60-80","50"
"MUK","MUK-T10-S2a",80,8,"60-80","24"
"MUK","MUK-T10-S2a",80,9,"60-80","24"
"MUK","MUK-T10-S2a",80,10,"60-80","24"
"MUK","MUK-T10-S2a",80,11,"60-80","24"
"MUK","MUK-T10-S2a",80,12,"60-80","24"
"MUK","MUK-T10-S2a",80,13,"60-80","24"
"MUK","MUK-T10-S2a",80,14,"60-80","24"
"MUK","MUK-T10-S2a",80,15,"60-80","24"
"MUK","MUK-T10-S2a",100,1,"80-100","24"
"MUK","MUK-T10-S2a",100,2,"80-100","24"
"MUK","MUK-T10-S2a",100,3,"80-100","24"
"MUK","MUK-T10-S2a",100,4,"80-100","24"
"MUK","MUK-T10-S2a",100,5,"80-100","24"
"MUK","MUK-T10-S2a",100,6,"80-100","24"
"MUK","MUK-T10-S2a",100,7,"80-100","24"
"MUK","MUK-T10-S2a",100,8,"80-100","24"
"MUK","MUK-T10-S2a",100,9,"80-100","24"
"MUK","MUK-T10-S2a",100,10,"80-100","24"
"MUK","MUK-T10-S2a",100,11,"80-100","50"
"MUK","MUK-T10-S2a",100,12,"80-100","50"
"MUK","MUK-T10-S2b",100,1,"80-100","26"
"MUK","MUK-T10-S2b",100,2,"80-100","26"
"MUK","MUK-T10-S2b",100,3,"80-100","26"
"MUK","MUK-T10-S2b",100,4,"80-100","28"
"MUK","MUK-T10-S2b",100,5,"80-100","26"
"MUK","MUK-T10-S2b",100,6,"80-100","28"
"MUK","MUK-T10-S2b",100,7,"80-100","26"
"MUK","MUK-T10-S2b",100,8,"80-100","26"
"MUK","MUK-T10-S2b",120,1,"100-120","29"
"MUK","MUK-T10-S2b",120,2,"100-120","29"
"MUK","MUK-T10-S2b",120,3,"100-120","29"
"MUK","MUK-T10-S2b",120,4,"100-120","29"
"MUK","MUK-T10-S2b",120,5,"100-120","29"
"MUK","MUK-T10-S2b",120,6,"100-120","indet"
"MUK","MUK-T10-S2b",120,7,"100-120","29"
"MUK","MUK-T10-S2a",120,1,"100-120","29"
"MUK","MUK-T10-S2a",120,2,"100-120","29"
"MUK","MUK-T10-S2a",120,3,"100-120","29"
"MUK","MUK-T10-S2a",120,4,"100-120","29"
"MUK","MUK-T10-S1c",100,1,"80-100","25"
"MUK","MUK-T10-S1c",100,2,"80-100","25"
"MUK","MUK-T10-S1c",100,3,"80-100","25"
"MUK","MUK-T10-S1c",100,4,"80-100","25"
"MUK","MUK-T10-S1c",100,5,"80-100","25"
"MUK","MUK-T10-S1c",100,6,"80-100","25"
"MUK","MUK-T10-S1c",100,7,"80-100","25"
"MUK","MUK-T10-S1c",100,8,"80-100","25"
"MUK","MUK-T10-S1d",100,1,"80-100","25"
"MUK","MUK-T10-S1d",100,2,"80-100","25"
"MUK","MUK-T10-S1d",100,3,"80-100","25"
"MUK","MUK-T10-S1d",100,4,"80-100","25"
"MUK","MUK-T10-S1d",100,5,"80-100","25"
"MUK","MUK-T10-S1a",100,1,"80-100","25"
"MUK","MUK-T10-S1a",100,2,"80-100","27"
"MUK","MUK-T10-S1a",100,3,"80-100","27"
"MUK","MUK-T10-S1a",100,4,"80-100","27"
"MUK","MUK-T10-S1a",100,5,"80-100","25"
"MUK","MUK-T10-S1a",100,6,"80-100","25"
"MUK","MUK-T10-S1b",100,1,"80-100","endocarp"
"MUK","MUK-T10-S1b",100,2,"80-100","26"
"MUK","MUK-T10-S1b",100,3,"80-100","26"
"MUK","MUK-T10-S1b",100,4,"80-100","23"
"MUK","MUK-T10-S1b",100,5,"80-100","26"
"MUK","MUK-T10-S1b",100,6,"80-100","41"
"MUK","MUK-T10-S1b",100,7,"80-100","12"
"MUK","MUK-T10-S1b",100,8,"80-100","48"
"MUK","MUK-T10-S1b",100,9,"80-100","48"
"MUK","MUK-T10-S1b",100,10,"80-100","48"
"MUK","MUK-T10-S1b",100,11,"80-100","48"
"MUK","MUK-T10-S1a",80,1,"60-80","16"
"MUK","MUK-T10-S1a",80,2,"60-80","23"
"MUK","MUK-T10-S1a",80,3,"60-80","23"
