Code,Depth,,,Sand %,Silt %,Clay %
MUK 2018/1030 10-194,40-60  cm,50,19-137,88,6,6
MUK 2018/1030 10-191,100-120  cm,110,19-138,86,6,8
MUK 2018/1030 10-158,160-180  cm,170,19-139,86,5,9
MUK 2018/1030 10-155,220-240  cm,230,19-140,85,6,9
MUK 2018/1030 10-152,280-300  cm,290,19-141,85,6,9
MUK 2018/1030 10-149,340-360  cm,360,19-142,85,5,10
MUK 2018/1030 10-162,400-420  cm,410,19-143,84,6,10
MUK 2018/1030 10-180,460-480  cm,470,19-144,84,8,8
MUK 2018/1030 10-168,520-540  cm,530,19-145,83,9,8
MUK 2018/1030 10-186,580-600  cm,590,19-146,83,6,11
MUK 2018/1030 10-174,640-660  cm,650,19-147,83,6,11
