"Act","Obj","VU","n","Typ","Size","Wgt","Wall","Fabric","Color","Decor","Morph","Drawing","Note"
5,NA,NA,NA,NA,70,11,8,"grog","grey/white",NA,NA,NA,NA
5,NA,NA,NA,NA,30,3.5,6,"fine/white","white/grey",NA,NA,NA,NA
5,NA,NA,NA,NA,70,10.8,6,"fine/red","red/grey",NA,"leicht konvexer Schulterbereich",NA,NA
5,NA,NA,NA,NA,30,6.6,8,"fine/white","white/grey",NA,NA,NA,NA
5,NA,NA,NA,NA,30,3.5,7,"fine/red","red/beige","bnfwa-nfwa?",NA,NA,NA
5,NA,NA,14,NA,30,17.6,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,2,NA,10,0.1,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,30,1.2,6,"fine/white","white/grey",NA,NA,NA,NA
6,NA,NA,NA,NA,30,1.2,5,"fine/red","red/grey",NA,"konakver Hals/konvexe Schulter?",NA,NA
6,NA,NA,NA,NA,70,4.8,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,12,NA,30,22.4,NA,NA,NA,NA,NA,NA,NA
6,"1",NA,NA,NA,70,13.4,7,"fine","grey/beige",NA,NA,NA,"Pfeife???"
7,NA,NA,NA,NA,30,1.6,4,NA,NA,NA,NA,NA,"Porzellan"
7,NA,NA,4,NA,30,9,NA,NA,NA,NA,NA,NA,NA
8,"4",NA,NA,"RS",70,7.4,8,"slag","beige/grey",NA,"kurzer ausbiegener Rand, spitze Mdg",NA,NA
8,NA,NA,NA,NA,70,6.6,7,"fine/white","white/grey/red",NA,NA,NA,NA
8,NA,NA,NA,"RS",30,2.1,6,"fine/red","red/beige","Rilleausbiegender, enger Rand, gerillte Mdg",NA,NA,NA
8,NA,NA,NA,NA,30,2.7,8,"fine/white","beige/brown/black","reste feine rille","konkaver Halsbereich?",NA,NA
8,"1-2",NA,NA,NA,70,14.4,8,"coarse/white","beige","Kammstrich",NA,NA,NA
8,NA,NA,12,NA,30,14.2,NA,NA,NA,NA,NA,NA,NA
9,"1",NA,NA,NA,70,9.9,7,"slag","beige/grey","feine horiz Rillen",NA,NA,NA
9,NA,NA,6,NA,30,7.4,NA,NA,NA,NA,NA,NA,NA
9,"2",NA,NA,NA,70,6.3,7,"fine/white","white/grey","überkreuzter Kammeindruck; fake Cauri?","gerade/leicht konvexe Schulter",NA,NA
10,NA,NA,NA,NA,70,11.7,12,"fine/white","white/grey",NA,NA,NA,NA
10,NA,NA,NA,NA,30,1.3,6,"fine/red","beige/red","feine Rillen, überkreuzte feine Rillen",NA,NA,NA
10,NA,NA,9,NA,30,12.9,NA,NA,NA,NA,NA,NA,NA
11,"2",NA,NA,NA,30,2.6,7,"fine/white","white/beige","mit feinen Rillen gefüllte Raute/Dreieck(?)",NA,NA,NA
11,NA,NA,2,NA,30,2.3,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,70,5.5,7,"fine/white","white/grey",NA,NA,NA,NA
12,NA,NA,7,NA,30,10.3,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,30,0.7,NA,NA,NA,NA,NA,NA,"Porzellan"
13,NA,NA,6,NA,30,9.2,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,70,13.4,6,"grog","white/grey",NA,NA,NA,NA
14,"2",NA,NA,"RS",70,10.3,6,"fine/white","beige",NA,"konkav ausbiegender Rand, gearde Mdg.","x","außen org. Anhaftungen"
14,"4",NA,NA,NA,70,8.6,6,"coarse/red","red/beige","Kammstrich, gerade & bögen",NA,NA,NA
14,NA,NA,8,NA,30,14.8,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,70,9.5,NA,NA,NA,NA,NA,NA,"außen org. Anhaftungen!!"
14,"1",NA,NA,NA,70,45.5,12,"fine/white","beige/grey/black",NA,"enger, leicht konkaver Flaschenhals",NA,NA
15,"1",NA,4,"RS",70,15.7,6,"fine/white","white","feines Fischgrät in Rille auf Schulter","einfach ausbiegender Rand, gerade Mdg, kein Hals, leicht konvexe Schulter","x",NA
15,NA,NA,NA,NA,30,1.2,8,"fine/red","red/grey",NA,NA,NA,NA
15,NA,NA,8,NA,30,12.5,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,70,12.8,9,"fine/white","white/black",NA,NA,NA,NA
16,NA,NA,11,NA,30,12.8,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,30,2.7,NA,"fine/red","red/grey",NA,NA,NA,NA
17,NA,NA,NA,NA,30,1.9,7,"fine/red","red/beige",NA,NA,NA,NA
17,NA,NA,10,NA,30,14.6,NA,NA,NA,NA,NA,NA,NA
18,NA,5,2,NA,70,6,6,"grog","grey",NA,NA,NA,"-18 & -24"
18,NA,NA,NA,NA,30,3.5,6,"coarse/red","red/beige",NA,NA,NA,NA
18,NA,NA,NA,NA,70,6.2,7,"coarse/white","beige/black",NA,NA,NA,NA
18,NA,NA,2,NA,30,1.2,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,30,1.7,5,"fine","black","horiz Rille; kleine Runde Kammeindrücke in der Rille",NA,NA,NA
19,NA,NA,NA,NA,70,5.3,7,"slag","beige",NA,NA,NA,NA
19,"3",NA,NA,NA,30,3.4,6.5,"fine/white","white","horiz Rillen",NA,NA,NA
19,NA,NA,NA,NA,70,7.9,10,"fine/red","beige/red","feine Rille",NA,NA,NA
19,NA,NA,2,NA,70,8.7,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,6,NA,30,7.6,NA,NA,NA,NA,NA,NA,NA
20,"1",NA,NA,NA,70,5.1,5.5,"fine/white","white/grey","Rillen & diag. Kammeindruck",NA,"x",NA
20,"3",NA,NA,NA,30,3.2,9,"fine/red","beige/red/grey","2 Rillen",NA,NA,NA
20,NA,NA,NA,NA,70,5.5,NA,"fine/red","red/grey",NA,NA,NA,NA
20,NA,NA,4,NA,70,25.5,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,13,NA,30,23.4,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,70,6.9,6,"slag","beige/grey",NA,NA,NA,NA
21,NA,NA,NA,NA,30,4.4,11.5,"fine/white","white/grey",NA,NA,NA,NA
21,NA,NA,NA,NA,30,5.6,8,"fine/white","white/grey","horiz Rille","konkav ausbiegender Rand",NA,NA
21,NA,NA,5,NA,30,4.4,NA,"fine/white",NA,NA,NA,NA,NA
23,NA,NA,NA,NA,30,1.7,5,"fine/white","white/black","horiz Rille",NA,NA,NA
23,NA,NA,NA,"RS",30,1.5,8,"fine/white","white/grey",NA,"ausbiegender Rand, gerade abgestrichene Mdg",NA,NA
23,NA,NA,NA,NA,30,2.7,7,"slag","brown/black",NA,"leicht konkaver Rand, gerade Mdg",NA,NA
23,NA,NA,NA,NA,30,8.1,12,"coarse/red","beige/red/black",NA,NA,NA,NA
23,NA,NA,14,NA,30,28.7,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,"RS",30,2.3,5,"fine","schwarz/beige","horiz Rille unterm Randabschluss","leicht konkaver Rand, spitze/gerade Mdg",NA,NA
24,NA,NA,NA,"Lid?",70,8.1,7,"slag","brown",NA,NA,NA,NA
24,NA,NA,NA,"RS",70,4.4,6,"slag","red/beige","horiz Rillen","kurzer dreieckig verdickter Rand; gerade abgestrichene Mdg",NA,NA
24,NA,NA,NA,NA,30,3.6,6,"slag","beige/red",NA,NA,NA,NA
24,NA,NA,NA,NA,30,1.8,5,"fine/white","white",NA,NA,NA,NA
24,NA,NA,NA,NA,30,1.6,6,"fine/white","white/grey",NA,NA,NA,NA
24,NA,NA,13,NA,30,12,NA,NA,NA,NA,NA,NA,NA
