"FROM","TO","VU","note"
"-19:1","-20","1","Same vessel unit"
"-19:1","-33","1","Same vessel unit"
"-19:1","-35","1","Same vessel unit"
"-19:1","-35","1","Same vessel unit"
"-20","-35","1","Direct"
"-20","-33","1","Same vessel unit"
"-20","-35","1","Same vessel unit"
"-33","-35","1","Same vessel unit"
"-33","-36","1","Same vessel unit"
"-35","-36","1","Same vessel unit"
"-36","-43:1","2","Direct"
"-39","-42","3","Direct"
"-31:1","-33:1","4","Same vessel unit"
"-31:1","-36","4","Same vessel unit"
"-33:1","-36","4","Same vessel unit"
"-18","-24","5","Same vessel unit"
"-35","-39","6","Direct"
"-10","-33:3",NA,"Same vessel unit"
"-33:4","-35:1",NA,"Same vessel unit"
"-41","-42:3",NA,"Same vessel unit"
"-42:1","-43:2",NA,"Same vessel unit"
"-8:3","-18",NA,"Same vessel unit"
"-8:5","-31:2, 3",NA,"Same vessel unit"
"-30","-36",NA,"Same vessel unit"
