"SQUARE","DEPTH",">4cm","2-4cm","1-2cm","0.5-1cm","<0.5cm"
"1a","20","2","42","237","403","348"
"1b","20","9","27","154","296","47"
"1c","20",NA,NA,NA,NA,NA
"1d","20",NA,NA,NA,NA,NA
"1a","40","4","34","136","56","2"
"1b","40","2","29","59","36","2"
"1c","40","3","29","120","65","5"
"1d","40","0","11","61","65","4"
"1a","60","3","6","26","34","6"
"1b","60","0","4","17","16","7"
"1c","60","0","0","0","0","0"
"1d","60","0","0","3","1","1"
"1a","80","0","2","3","10","0"
"1b","80","0","0","1","0","1"
"1c","80","0","0","0","1","1"
"1d","80","0","0","0","0","0"
"1a","100","0","0","0","0","0"
"1b","100","0","1","0","0","0"
"1c","100","0","0","0","2","0"
"1d","100","0","0","1","0","0"
"1a","120","0","0","0","0","0"
"1b","120","0","0","0","0","0"
"1c","120","0","0","0","0","0"
"1d","120","0","0","1","1","0"
"1a","140","0","0","0","0","0"
"1b","140","0","0","0","0","0"
"1c","140","0","0","0","0","0"
"1d","140","0","0","0","0","0"
"1a","160","0","0","0","0","0"
"1b","160","1","0","0","0","0"
"1c","160","0","0","0","0","0"
"1d","160","0","0","0","0","1"
"1a","180","1","0","0","0","0"
"1b","180","0","1","0","0","0"
"1c","180","1","1","0","0","0"
"1d","180","0","0","0","1","0"
"1a","200","0","0","0","1","1"
"1b","200","0","0","0","0","1"
"1c","200","0","0","0","0","2"
"1d","200","0","0","0","0","0"
"1a","220","0","0","1","2","0"
"1b","220","0","0","2","4","1"
"1c","220","0","0","0","1","1"
"1d","220","0","0","0","1","1"
"1a","240","0","0","1","2","1"
"1b","240","0","0","0","1","0"
"1c","240","0","0","0","0","1"
"1d","240","0","0","0","4","0"
"1a","260","0","0","0","2","3"
"1b","260","0","0","0","2","2"
"1c","260","0","0","1","5","4"
"1d","260","0","0","1","3","1"
"1a","280","0","0","0","1","1"
"1b","280","1","0","0","3","2"
"1c","280","0","0","0","6","2"
"1d","280","0","0","0","4","4"
"1a","300","0","0","1","9","0"
"1b","300","0","1","2","2","2"
"1c","300","1","1","2","5","2"
"1d","300","0","3","4","13","4"
"1a","320","1","0","6","17","0"
"1b","320","3","0","0","17","10"
"1a","340","0","0","7","45","9"
"1b","340","0","0","1","11","5"
"1a","360","2","3","6","32","4"
"1b","360","0","0","3","22","3"
"1a","380","0","0","0","0","0"
"1b","380","0","0","1","0","0"
"1a","400","0","0","3","5","1"
"1b","400","1","5","0","0","0"
"1a","420","0","0","0","0","0"
"1b","420","0","0","1","1","0"
"1a","440","0","0","0","1","1"
"1b","440","0","0","0","0","0"
"1a","460","0","0","0","0","0"
"1b","460","0","0","2","0","0"
"1a","480","0","0","0","0","0"
"1b","480","0","0","0","0","0"
"1a","500","0","0","0","0","0"
"1b","500","0","0","0","0","0"
"1a","520","0","0","0","1","0"
"1b","520","0","0","0","0","0"
"1a","540","0","0","0","0","0"
"1b","540","0","0","0","1","0"
"1a","560","0","0","0","0","0"
"1b","560","0","0","0","0","0"
"1a","580","0","0","0","0","0"
"1b","580","0","0","0","0","0"
"1a","600","0","0","0","0","0"
"1b","600","0","0","0","0","0"
"1a","620","0","0","0","0","0"
"1b","620","0","0","0","0","0"
"1a","640","0","0","0","0","0"
"1b","640","0","0","0","0","0"
"1a","660","0","0","0","0","0"
"1b","660","0","0","0","2","0"
