"SQUARE","DEPTH","Kern","Abschlag","Grundform","Gerät","Trümmer"
"1a","20",0,0,0,0,"170"
"1b","20",0,0,0,0,"190"
"1c","20",0,0,0,0,"0"
"1d","20",0,0,0,0,"0"
"1a","40",0,15,0,0,"162"
"1b","40",0,25,0,0,"65"
"1c","40",0,27,0,1,"124"
"1d","40",0,11,0,0,"130"
"1a","60",1,4,0,0,"0"
"1b","60",0,1,0,0,"4"
"1c","60",0,0,0,0,"0"
"1d","60",0,0,0,0,"4"
"1a","80",0,2,0,0,"3"
"1b","80",0,1,0,0,"0"
"1c","80",0,0,0,0,"0"
"1d","80",0,0,0,0,"0"
"1a","100",0,0,0,0,"0"
"1b","100",0,1,0,0,"0"
"1c","100",0,0,0,0,"0"
"1d","100",0,1,0,0,"0"
"1a","120",0,0,0,0,"0"
"1b","120",0,0,0,0,"0"
"1c","120",0,0,0,0,"0"
"1d","120",0,0,0,0,"1"
"1a","140",0,0,0,0,"0"
"1b","140",0,0,0,0,"0"
"1c","140",0,0,0,0,"0"
"1d","140",0,0,0,0,"0"
"1a","160",0,0,0,0,"0"
"1b","160",0,0,0,1,"0"
"1c","160",0,0,0,0,"0"
"1d","160",0,0,0,0,"0"
"1a","180",0,1,0,0,"0"
"1b","180",0,1,1,0,"0"
"1c","180",0,1,0,1,"0"
"1d","180",0,0,0,0,"1"
"1a","200",0,0,0,0,"1"
"1b","200",0,0,0,0,"0"
"1c","200",0,0,0,0,"0"
"1d","200",0,0,0,0,"0"
"1a","220",0,0,0,0,"0"
"1b","220",0,0,0,0,"0"
"1c","220",0,0,0,0,"0"
"1d","220",0,0,0,0,"0"
"1a","240",0,0,0,0,"0"
"1b","240",0,0,0,0,"0"
"1c","240",0,0,0,0,"0"
"1d","240",0,0,0,0,"0"
"1a","260",0,0,0,0,"0"
"1b","260",0,0,0,0,"0"
"1c","260",0,0,0,0,"0"
"1d","260",0,1,0,0,"0"
"1a","280",0,0,0,0,"0"
"1b","280",0,1,1,0,"0"
"1c","280",0,0,0,0,"0"
"1d","280",0,0,0,0,"0"
"1a","300",0,0,0,0,"0"
"1b","300",0,0,0,0,"1"
"1c","300",0,1,0,0,"1"
"1d","300",0,2,0,0,"0"
"1a","320",0,0,0,0,"1"
"1b","320",0,3,0,0,"0"
"1a","340",0,0,0,0,"0"
"1b","340",0,0,0,0,"0"
"1a","360",1,3,0,1,"0"
"1b","360",0,0,0,0,"0"
"1a","380",0,0,0,0,"0"
"1b","380",0,0,0,0,"0"
"1a","400",0,0,0,0,"0"
"1b","400",0,4,0,0,"2"
"1a","420",0,0,0,0,"0"
"1b","420",0,0,0,0,"0"
"1a","440",0,0,0,0,"0"
"1b","440",0,0,0,0,"0"
"1a","460",0,0,0,0,"0"
"1b","460",0,0,0,0,"0"
"1a","480",0,0,0,0,"0"
"1b","480",0,0,0,0,"0"
"1a","500",0,0,0,0,"0"
"1b","500",0,0,0,0,"0"
"1a","520",0,0,0,0,"0"
"1b","520",0,0,0,0,"0"
"1a","540",0,0,0,0,"0"
"1b","540",0,0,0,0,"0"
"1a","560",0,0,0,0,"0"
"1b","560",0,0,0,0,"0"
"1a","580",0,0,0,0,"0"
"1b","580",0,0,0,0,"0"
"1a","600",0,0,0,0,"0"
"1b","600",0,0,0,0,"0"
"1a","620",0,0,0,0,"0"
"1b","620",0,0,0,0,"0"
"1a","640",0,0,0,0,"0"
"1b","640",0,0,0,0,"0"
"1a","660",0,0,0,0,"0"
"1b","660",0,0,0,0,"0"
