"RAWMATERIAL","INVNO","QTY"
"A","62389","119"
"A","60689","1"
"A","62391","3"
"A","62392","13"
"A","62397","18"
"A","62385","5"
"A","62396","15"
"A","62387","20"
"A","60699","1"
"A","62394","15"
"A","62400","12"
"A","62397","5"
"A","62404","1"
"A","60713","6"
"A","62405","3"
"A","60773","5"
"A","62384","1"
"A","62401","3"
"A","62374","1"
"A","60761","1"
"A","60647","1"
"A","60693","1"
"A","62390","1"
"A","60656","1"
"A","60757","1"
"A","62402","1"
"A","62394","1"
"A","62403","1"
"A","60754","1"
"A","62404","1"
"A","62389","1"
"A","62389","29"
"A","62392","1"
"A","60773","1"
"A","62397","10"
"A","62400","2"
"A","62387","5"
"A","62401","3"
"B","62389","67"
"B","62397","5"
"B","60771","1"
"B","60709","1"
"B","62385","2"
"B","62394","1"
"B","60773","1"
"B","62387","5"
"B","62398","1"
"B","62396","1"
"B","60751","1"
"B","62392","1"
"B","60756","1"
"C","62336","1"
"C","62382","2"
"C","62482","1"
"C","62349","2"
"C","62342","1"
"C","62496","1"
"C","62351","1"
"C","60753","1"
"C","60752","1"
"C","62342","2"
"C","62347","5"
"C","62348","5"
"C","60758","2"
"C","62346","2"
"C","62344","1"
"C","62350","1"
"C","62486","1"
"C","62351","1"
"C","60699","1"
"C","62373","1"
"D","62484","1"
"D","62396","1"
"D","62397","2"
"D","60765","1"
"D","62354","1"
"D","62384","1"
"D","62385","1"
"D","62387","1"
"D","62377","1"
"D","62394","1"
"E","62388","9"
"E","60733","2"
"E","60681","1"
"E","60750","24"
"E","60749","22"
"E","60683","2"
"E","60686","7"
"E","60684","16"
"E","60752","4"
"E","60772","10"
"E","62493","1"
"E","62404","1"
"E","62384","8"
"E","60751","13"
"E","60699","10"
"E","60772","5"
"E","62391","1"
"E","60680","2"
"E","60693","2"
"E","60678","1"
"E","60747","1"
"E","60748","1"
"E","60688","5"
"E","62383","2"
"E","62380","1"
"E","60732","1"
"F","60692","1"
"F","62389","51"
"F","62401","1"
"F","62387","5"
"F","62397","6"
"F","62394","2"
"F","60673","1"
"F","62396","1"
"G","60693","1"
"G","62398","2"
"G","62401","16"
"G","62390","2"
"G","62391","2"
"G","62345","1"
"G","62396","1"
"H","60769","2"
"H","62346","1"
"I","62340","1"
"I","62490","1"
"J","62387","2"
"J","62397","1"
"J","62390","1"
"J","62395","1"
"K","62384","1"
"K","62335","1"
"L","62395","1"
"L","62481","1"
"L","62333","1"
"L","62480","1"
"M","62350","2"
"M","62348","1"
"N","60757","4"
"O","62350","1"
"O","60755","1"
"O","60758","1"
"P","60700","1"
"P","60701","1"
"P","60707","1"
"P","60708","1"
"Q","60688","1"
"Q","60684","3"
"Q","60749","1"
"Q","60750","8"
"R","60756","3"
"S","60693","9"
"S","62389","1"
"S","62394","1"
"S","60713","1"
"S","60405","1"
"S","62384","1"
"T","62401","7"
"T","60763","1"
"T","62400","2"
"T","62397","1"
"T","62348","1"
"T","60761","1"
"Q","60772","1"
"Q","60751","1"
