"ID.Museum.A","ID.Museum.B","x.A","x.B","refit","tool.marks","type","FigS9"
"60644-2","62395-4",0,1,"D","tm","Modern",""
"60656-1","62378-2",0,1,"S","","Sequential","12"
"60693-15","60693-1",0.5,1,"S","","Sequential","10"
"60693-1","60693-3",1,0,"D","","Direct","10"
"60693-4","60693-15",0,0.5,"S","","Sequential","10"
"60738","60738",0,1,"D","","Modern",""
"60763","60763",0,1,"S","","Sequential",""
"60771","60771",0,1,"D","","Modern",""
"60773-4","62397-31",0,1,"D","tm?","Modern","5"
"60744-1","60744-2",0,1,"D","","Direct","12"
"60746-1","60746-2",0,1,"S","","Sequential",""
"60757","62393",0,1,"D","","Direct",""
"60767-1","62389-1",0,1,"D","","Direct","1"
"62377-1","62375",0,1,"S","","Sequential","9"
"62376-1","62376-2",0,1,"S","","Sequential",""
"62378-2","60744-1+2",1,0,"S","","Sequential","12"
"62385","62385",0,1,"D","","Modern",""
"62385-2","62387-31",0,1,"S","","Sequential","8"
"62397-83","62387-31",0,1,"D","","Direct","8"
"62387-12","62389-12",0,1,"D","tm","Modern","4"
"62387-25","62394-16",0,1,"S","","Sequential",""
"62387-31","62397-83",0,1,"S","","Sequential",""
"62389-7","62389-132",0,1,"D","tm?","Modern",""
"62389-11","62389-157",0,1,"D","","Direct",""
"62389-14","62389-81",0,1,"D","tm","Modern","3"
"62389-19","62389-25",0,1,"D","tm","Modern","6"
"62389-45","62389-76",0,1,"D","","Direct",""
"62397-87","62389-89",0,1,"D","tm","Modern",""
"62389-94","62389-95",0,1,"D","","Direct",""
"62389","62389",0,1,"D","","Direct",""
"62389","62389",0,1,"D","","Direct",""
"62389","62389",0,1,"S","","Sequential",""
"62397-4","62397-6",0,1,"D","tm!","Modern","2"
"62400","62400",0,1,"D","","Direct",""
