"InvNo","Trench","Quadrant","N","Z..m.","Depth..cm.","Typ","Fabric","FabricOrig","Color","Drawing","Form","Dekor","Notes"
"60556","II","N",NA,"-1.27",80,"RS","grog","grog","beige/white","x",NA,NA,NA
"60557","II","N",NA,"-1.32",85,"WS/BS","coarse/red","5er?","rot/schwarz",NA,NA,NA,NA
"60546","II","L-C",NA,NA,45,"WS","laterite","7er/feiner Anteil","rot/grau/beige",NA,NA,NA,"0.30/0.60 auf der Scherbe geschrieben"
"60547","II","L-C",NA,"-1.22",62,"Knubbe/Deckel","coarse/white","4er","beige/schwarz","Pierot87; x",NA,NA,NA
"60547","II","L-C",NA,"-1.22",62,"WS","coarse/red","5er?","schwarz/braun",NA,NA,NA,NA
"60547","II","L-C",NA,"-1.22",62,"WS","coarse/white","4er","grau/beige",NA,NA,NA,NA
"60547","II","L-C",NA,"-1.22",62,"WS","laterite","7d?","schwarz/rot",NA,NA,NA,NA
"60545","II","L-H",3,"-0,62/-0,92",45,"WS","slag","slag","rot",NA,NA,NA,NA
"60545","II","L-H",NA,"-0,62/-0,92",45,"WS","laterite","7d?","schwarz/beige/rot",NA,NA,NA,NA
"60545","II","L-H",NA,"-0,62/-0,92",45,"WS","coarse/red","5a","rot/grau",NA,NA,NA,NA
"60545","II","L-H",NA,"-0,62/-0,92",45,"WS","coarse/white","4a","schwarz/beige",NA,NA,NA,NA
"60545","II","L-H",NA,"-0,62/-0,92",45,"WS","grog","grog?","beige/grau",NA,NA,NA,NA
"60545","II","L-I",NA,"-0,30/-0,60",45,"WS","coarse/red","5b","rot","x",NA,NA,"0.30/0.60 auf der Scherbe geschrieben"
"60545","II","L-I",NA,"-0,30/-0,60",45,"RS","fine/red","3b","schwarz/rot","x",NA,NA,"0.30/0.60 auf der Scherbe geschrieben"
"60544","II","D-M",NA,"-0,50/-0,60",40,"WS","slag","slag","schwarz/rot/braun",NA,NA,NA,NA
"60544","II","D-M",2,"-0,15/-0,25",20,"Deckel","grog","grog","rot/grau",NA,NA,NA,"Stück mit so unregelmäßiger Obfl wie in 2018er Material"
"60544","II","D-M",5,"-0,50/-0,60",40,"WS",NA,NA,NA,NA,NA,NA,NA
"60542","II","N",NA,"-0.62",15,"WS","coarse/red","5er?",NA,NA,NA,NA,NA
"60543","II","N",NA,"-0.77",25,"WS","slag","slag","rot/grau",NA,NA,NA,NA
"60542","II","N",NA,"-0.62",15,"WS","fine/white","3a","schwarz/weiß",NA,NA,NA,NA
"60542","II","N",NA,"-0.62",15,"RS","coarse/white","4er?","beige/grau",NA,"ausbeigend, leicht innen & außen verdickt, Mdg schräg abgestrichen",NA,NA
"60542","II","N",NA,"-0.62",15,"WS","grog","3a/grog?","geige/schwarz","x",NA,NA,NA
"60542","II","N",NA,"-0.62",15,"RS","grog","3a/grog","weiß/grau","x",NA,NA,NA
"82516","II","M",NA,"+-0,5",NA,"RS","fine/red","3b","rot/grau",NA,"gerade aufsteigend",NA,NA
"82516","II","M",NA,"+-0,5",NA,"WS","coarse/red","5b?","grau/rot/braun",NA,NA,NA,NA
"80369","VII",NA,NA,NA,NA,"WS","coarse/white","4b","weiß/grau",NA,NA,NA,NA
"80368","VII",NA,NA,NA,NA,"WS","slag","slag","beige/grau","x",NA,NA,NA
"62043",NA,"C",NA,NA,NA,"WS","coarse/white","4a?","schwarz/beige",NA,NA,NA,NA
"62042",NA,"C",NA,NA,75,"WS","slag","slag","grau/beige",NA,NA,NA,NA
