"LABNR","C14AGE","C14STD","C13","METHOD","MATERIAL","COUNTRY","SITE","FEATURE","FEATURE_DESC","DEPTH","LAT","LONG","PHASE","LITHICS","POTTERY","IRON","FRUIT","ZOO","CLASS","REMARK","SOURCE"
RICH-26653,12329,41,-27.4,AMS,Charcoal_wood,COD,Mukila,MUK 2018/1030/10,Layer,3.2,-5.0156,16.9862,,indet,-,-,Cs,,Ia,,Jungnickel et al. 2024
RICH-26654,3347,25,-28.14,AMS,Charcoal_wood,COD,Mukila,MUK 2018/1030/10,Layer,1.6,-5.0156,16.9862,,indet,-,-,Cs,,Ia,,Jungnickel et al. 2024
RICH-26655,587,22,-26.98,AMS,Charcoal_endocarp_elaeis,COD,Mukila,MUK 2018/1030/10,Layer,0.6,-5.0156,16.9862,LIA,-,indet,-,Eg,,Ia,,Jungnickel et al. 2024
RICH-26656,1992,23,-29.46,AMS,Charcoal_endocarp_elaeis,COD,Mukila,MUK 2018/1030/10,Layer,0.8,-5.0156,16.9862,,-,-,-,Eg,,Ia,,Jungnickel et al. 2024
RICH-26657,4501,26,-26.69,AMS,Charcoal_wood,COD,Mukila,MUK 2018/1030/10,Layer,1.8,-5.0156,16.9862,,indet,-,-,-,,Ia,,Jungnickel et al. 2024
RICH-26658,367,22,-25.48,AMS,Charcoal_endocarp_elaeis,COD,Mukila,MUK 2018/1030/10,Layer,0.6,-5.0156,16.9862,LIA,-,indet,-,Eg,,Ia,,Jungnickel et al. 2024
RICH-27374,10098,33,-26.77,AMS,Charcoal_wood,COD,Mukila,MUK 2018/1030/10,Layer,3,-5.0156,16.9862,,indet,-,-,-,,Ia,,Jungnickel et al. 2024
RICH-27379,12268,37,-24.95,AMS,Charcoal_wood,COD,Mukila,MUK 2018/1030/10,Layer,3.6,-5.0156,16.9862,,indet,-,-,-,,Ia,,Jungnickel et al. 2024
RICH-27380,2176,25,-23.83,AMS,Charcoal_wood,COD,Mukila,MUK 2018/1030/10,Layer,1,-5.0156,16.9862,,-,-,-,Cs,,Ia,,Jungnickel et al. 2024
RICH-27381,3430,26,-22.91,AMS,Charcoal_wood,COD,Mukila,MUK 2018/1030/10,Layer,0.8,-5.0156,16.9862,,indet,-,-,Eg,,Ia,,Jungnickel et al. 2024
RICH-27410,3311,26,-23.01,AMS,Charcoal_wood,COD,Mukila,MUK 2018/1030/10,Layer,1.2,-5.0156,16.9862,,indet,-,-,Cs,,Ia,,Jungnickel et al. 2024
RICH-30594,4581,34,-21.3,AMS,Charcoal_wood,COD,Mukila,MUK1952/F-J,Layer,1.44,-5.0156,16.9862,,indet,-,-,,,Ia,,Jungnickel et al. 2024
RICH-30595,32724,339,-24.8,AMS,Charcoal_wood,COD,Mukila,MUK1952/M,Layer,4.45,-5.0156,16.9862,,indet,-,-,,,Ia,,Jungnickel et al. 2024
RICH-30596,10103,59,-24.8,AMS,Charcoal_wood,COD,Mukila,MUK 2018/1030/10,Layer,2.4,-5.0156,16.9862,,indet,-,-,,,Ia,,Jungnickel et al. 2024
RICH-33107,413,24,,AMS,Soot,COD,Mukila,MUK 52 II/J/66 (RMCA InvNo 62064),,0.66,-5.0156,16.9862,,,indet,,,,Ia,,Jungnickel et al. 2024
RICH-33715,37203,653,,AMS,Charcoal,COD,Mukila,MUK 2018/1030/13,,6.6,-5.0156,16.9862,,,,,,,Ia,,Jungnickel et al. 2024
